timestamp,date,style,ticker,signal,event,price,entry,stop,tp1,tp2,tp3,gain_pct,trade_id
2026-07-02T02:23:23+07:00,2026-07-02,Swing Trading,ASGR,BUY,OPEN,1475,1475,1428,1569,1585,1650,0.0,Swing Trading::ASGR::20260702022323
2026-07-02T02:23:48+07:00,2026-07-02,Intraday,MAPI,BUY,OPEN,1525,1525,1517,1541,,,0.0,Intraday::MAPI::20260702022348
2026-07-02T02:23:48+07:00,2026-07-02,Intraday,BIRD,BUY,OPEN,1485,1485,1477,1501,1530,1560,0.0,Intraday::BIRD::20260702022348
2026-07-02T02:24:06+07:00,2026-07-02,Long Term,DCII,BUY,OPEN,180500,180500,174409,192681,210900,226150,0.0,Long Term::DCII::20260702022406
2026-07-02T02:24:06+07:00,2026-07-02,Long Term,BYAN,BUY,OPEN,11750,11750,9843,15563,19350,20250,0.0,Long Term::BYAN::20260702022406
2026-07-02T02:24:06+07:00,2026-07-02,Long Term,TINS,BUY,OPEN,3320,3320,2922,4117,4190,4720,0.0,Long Term::TINS::20260702022406
2026-07-02T09:12:17+07:00,2026-07-02,Intraday,BDMN,BUY,OPEN,3740,3740,3697,3825,4060,4090,0.0,Intraday::BDMN::20260702091217
2026-07-02T09:23:11+07:00,2026-07-02,Long Term,TUGU,BUY,OPEN,1190,1190,1152,1266,1285,1305,0.0,Long Term::TUGU::20260702092311
2026-07-02T09:34:12+07:00,2026-07-02,Swing Trading,TUGU,BUY,OPEN,1200,1200,1164,1273,1275,1300,0.0,Swing Trading::TUGU::20260702093412
2026-07-02T09:45:15+07:00,2026-07-02,Intraday,BIRD,BUY,TP1,1501,1485,1485,1501,1530,1560,1.08,Intraday::BIRD::20260702022348
2026-07-02T09:45:15+07:00,2026-07-02,Intraday,AMRT,BUY,OPEN,1395,1395,1383,1418,1440,1445,0.0,Intraday::AMRT::20260702094515
2026-07-02T09:56:11+07:00,2026-07-02,Long Term,TUGU,BUY,SL,1152,1190,1152,1266,1285,1305,-3.18,Long Term::TUGU::20260702092311
2026-07-02T09:56:11+07:00,2026-07-02,Long Term,BRMS,BUY,OPEN,510,510,289,930,1190,1385,0.0,Long Term::BRMS::20260702095611
2026-07-02T09:56:11+07:00,2026-07-02,Long Term,DEWA,BUY,OPEN,306,306,178,562,595,865,0.0,Long Term::DEWA::20260702095611
2026-07-02T10:07:12+07:00,2026-07-02,Swing Trading,TUGU,BUY,SL,1164,1200,1164,1273,1275,1300,-3.03,Swing Trading::TUGU::20260702093412
2026-07-02T10:18:15+07:00,2026-07-02,Intraday,BSSR,BUY,OPEN,3990,3990,3975,4020,4030,4040,0.0,Intraday::BSSR::20260702101815
2026-07-02T10:40:12+07:00,2026-07-02,Swing Trading,TUGU,BUY,OPEN,1205,1205,1164,1275,1300,1310,0.0,Swing Trading::TUGU::20260702104012
2026-07-02T11:13:12+07:00,2026-07-02,Swing Trading,TUGU,BUY,SL,1164,1205,1164,1275,1300,1310,-3.43,Swing Trading::TUGU::20260702104012
2026-07-02T11:13:12+07:00,2026-07-02,Swing Trading,TUGU,BUY,OPEN,1205,1205,1164,1275,1300,1310,0.0,Swing Trading::TUGU::20260702111312
2026-07-02T11:24:15+07:00,2026-07-02,Intraday,BSSR,BUY,TP1,4020,3990,3990,4020,4030,4040,0.75,Intraday::BSSR::20260702101815
2026-07-02T11:36:37+07:00,2026-07-02,Swing Trading,TUGU,BUY,SL,1164,1205,1164,1275,1300,1310,-3.43,Swing Trading::TUGU::20260702111312
2026-07-02T11:46:21+07:00,2026-07-02,Swing Trading,TUGU,BUY,OPEN,1205,1205,1164,1275,1300,1310,0.0,Swing Trading::TUGU::20260702114621
2026-07-02T11:46:21+07:00,2026-07-02,Swing Trading,TUGU,BUY,SL,1164,1205,1164,1275,1300,1310,-3.43,Swing Trading::TUGU::20260702114621
2026-07-02T11:46:21+07:00,2026-07-02,Swing Trading,TUGU,BUY,OPEN,1205,1205,1164,1275,1300,1310,0.0,Swing Trading::TUGU::20260702114621
2026-07-02T11:57:18+07:00,2026-07-02,Intraday,BDMN,BUY,TP1,3825,3740,3740,3825,4060,4090,2.27,Intraday::BDMN::20260702091217
2026-07-02T13:31:17+07:00,2026-07-02,Swing Trading,TUGU,BUY,SL,1164,1205,1164,1275,1300,1310,-3.43,Swing Trading::TUGU::20260702114621
